Product code	Product name	Product code	Vendor name	Selling units	Packing units	pack /selling units	ไข่ (ฟอง) /pack	ไข่ (ฟอง) /selling units	Packaging cost per selling units	Packaging cost per ฟอง	Size ไข่ A 	Size ไข่ B	% SKU A	ฟองต่อ/selling units A	ฟองต่อ/selling units B	SKU size	Size ตะกร้า	pack ฐาน	ฝาครอบ	ฉลาก barcode SKUs	ฉลาก label/sticker	Closer 1	Closer 2	ฉลาก barcode Bulk
B0010	200000355429 WRF_ไข่ไก่เบอร์ 2 แพ็ค 10 ฟอง ตราบิ๊กซี (7 แพ็ค/ตะกร้า)	B0010	BC	ตะกร้า	แพ็ค 10	7.000	10	70	#REF!	#REF!	2		100%	70	0	2	M	90009		91214	91115			91213
B0011	2000007421288 WRF_ไข่คละเบอร์2+3แพ็ค10 ฟอง(14แพ็ค/ตะกร้า)	B0011	BC	ตะกร้า	แพ็ค 10	14.000	10	140	#REF!	#REF!	2	3	20%	28	112	2-3 M	M	90009		91214	91117			91213
B0012	8858912634101 WRF_ไข่ไก่คละ (10ฟอง) ตราบิ๊กซี (7 แพ็ค/ตระกร้า)	B0012	BC	ตะกร้า	แพ็ค 10	7.000	10	70	#REF!	#REF!	3	4	15%	10.5	59.5	3-4 S	S	90009		91214	91112			91213
B0013	WRF_ไข่ไก่เบอร์ 4(30ฟอง)ตราบิ๊กซี Mini(2ถาด/ตะกร้า)	B0013	BC	ตะกร้า	ถาด/ครอบ	2.000	30	60	#REF!	#REF!	4		100%	60	0	4	S	90001	90005	91214	91103	90013		91213
C0001	20057085 ยกนิ้วไข่ไก่ขนาด S แพ็ค 30 ฟอง	C0001	CJ	ถาด	ถาด/ครอบ	1.000	30	30	#REF!	#REF!	4	5	50%	15	15	4-5 XS	CJ - Grey	90001	90005	91214	91301	90013		91213
C0002	20042690 ยกนิ้วไข่ไก่ขนาด M แพ็ค 30 ฟอง	C0002	CJ	ถาด	ถาด/ครอบ	1.000	30	30	#REF!	#REF!	3	4	50%	15	15	3-4 S	CJ - Grey	90001	90005	91214	91302	90013		91213
C0003	20054842 ยกนิ้วไข่ไก่ขนาด L แพ็ค 30 ฟอง	C0003	CJ	ถาด	ถาด/ครอบ	1.000	30	30	#REF!	#REF!	1	2	50%	15	15	1-2 L	CJ - Grey	90001	90005	91214	91303	90013		91213
C0004	20052848 ยกนิ้วไข่ไก่สดเบอร์ 2 แพ็ค 30 ฟอง	C0004	CJ	ถาด	ถาด/ครอบ	1.000	30	30	#REF!	#REF!	2		100%	30	0	2	CJ - Grey	90001	90005	91214	91304	90013		91213
M0001	899975 ARO ไข่ไก่คละเบอร์ 3-4 มีฝา 30ฟอง	M0001	MK	ถาด	ถาด/ครอบ	1.000	30	30	#REF!	#REF!	3	4	50%	15	15	3-4 S	no	90001	90005	91214	91206	90013		
M0002	8008354 ARO ไข่ไก่คละเบอร์ 3-4 ไม่มีฝา 30ฟองx5	M0002	MK	มัด 5	ถาด	5.000	30	150	#REF!	#REF!	3	4	50%	75	75	3-4 S	no	90001		91214		90012		91209
